scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-increasing-number-of-states,0,52,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,497007,5043,15195,60,3565,11010,13,0,0,0,4,3854,501058,0,passed,4,1,5,1
cancellation-increasing-number-of-states,1,53,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,464483,3701,13443,8,2763,10910,1,0,0,0,4,2246,466846,0,passed,4,2,5,2
cancellation-increasing-number-of-states,2,54,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,469773,5099,15025,6,3593,10812,77,0,0,0,4,3394,473300,0,passed,4,1,5,1
cancellation-increasing-number-of-states,3,55,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472831,4991,15015,34,3553,10930,12,0,0,0,4,2969,475939,0,passed,4,1,5,1
cancellation-increasing-number-of-states,4,56,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472373,5099,15031,0,3597,10806,20,0,0,0,4,2904,475409,0,passed,4,1,5,1
cancellation-increasing-number-of-states,5,57,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,468455,3977,11517,33,2891,8882,8,0,0,0,4,2304,470912,0,passed,4,1,5,1
cancellation-increasing-number-of-states,6,58,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,584659,5431,16113,4,4135,12997,16,0,0,0,5,3250,588075,0,passed,4,1,5,1
cancellation-increasing-number-of-states,7,59,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,470265,5019,14817,0,3577,10706,28,0,0,0,4,2837,473226,0,passed,4,1,5,1
cancellation-increasing-number-of-states,8,60,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,586154,5129,15740,0,3943,12964,17,0,0,0,5,3103,589444,0,passed,4,2,5,2
cancellation-increasing-number-of-states,9,61,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,469288,3799,11199,13,2787,8774,7,0,0,0,4,2235,471656,0,passed,4,2,5,2
cancellation-increasing-number-of-states,10,62,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,469606,5007,15045,0,3561,10940,14,0,0,0,4,2867,472619,0,passed,4,1,5,1
cancellation-increasing-number-of-states,11,63,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,583939,7699,23471,18,5591,17377,29,0,0,0,5,4395,588504,0,passed,4,1,5,1
cancellation-increasing-number-of-states,12,64,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,580566,5047,15537,15,3919,12866,10,0,0,0,5,3047,583791,0,passed,4,2,5,2
cancellation-increasing-number-of-states,13,65,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,583366,7755,23579,27,5625,17430,9,0,0,0,5,4359,587902,0,passed,4,1,5,1
cancellation-increasing-number-of-states,14,66,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,471442,3460,10288,6,2511,7841,13,0,0,0,4,1998,473569,0,passed,4,2,4,2
cancellation-increasing-number-of-states,15,67,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,467524,4971,14965,22,3525,10882,8,0,0,0,4,2809,470489,0,passed,4,1,5,1
cancellation-increasing-number-of-states,16,68,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,473143,4943,14883,22,3517,10842,3,0,0,0,4,2816,476115,0,passed,4,1,5,1
cancellation-increasing-number-of-states,17,69,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,469073,3813,10982,15,2827,8599,23,0,0,0,4,2480,471721,0,passed,4,1,5,1
cancellation-increasing-number-of-states,18,70,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,484535,4935,14843,42,3533,10842,10,0,0,0,4,3068,487750,0,passed,4,1,5,1
cancellation-increasing-number-of-states,19,71,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,606662,5387,15677,20,4123,12665,18,0,0,0,5,3474,610328,0,passed,4,1,5,1
cancellation-increasing-number-of-states,20,72,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,463272,5047,15157,42,3561,10986,0,0,0,0,4,2875,466278,0,passed,4,1,5,1
cancellation-increasing-number-of-states,21,73,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472271,5011,14775,14,3545,10678,1,0,0,0,4,2857,475267,0,passed,4,1,5,1
cancellation-increasing-number-of-states,22,74,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,456053,3402,11663,5,2488,8990,2,0,0,0,4,2000,458180,0,passed,4,2,4,2
cancellation-increasing-number-of-states,23,75,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,579663,7337,21664,0,5321,15954,27,0,0,0,5,4057,583900,0,passed,4,1,5,1
cancellation-increasing-number-of-states,24,76,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,13,463322,3966,14492,22,2757,10341,2,0,0,0,4,2277,465730,0,passed,4,2,4,2
cancellation-increasing-number-of-states,25,77,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,571936,5247,15581,13,4087,12773,17,0,0,0,5,3007,575131,0,passed,4,1,5,1
cancellation-increasing-number-of-states,26,78,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,582482,5355,15583,19,4119,12623,20,0,0,0,5,3144,585794,0,passed,4,1,5,1
cancellation-increasing-number-of-states,27,79,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,570983,7739,23563,24,5591,17420,8,0,0,0,5,4373,575538,0,passed,4,1,5,1
cancellation-increasing-number-of-states,28,80,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,463846,5035,15149,17,3549,10972,16,0,0,0,4,2879,466874,0,passed,4,1,5,1
cancellation-increasing-number-of-states,29,81,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,346516,2386,7417,0,1595,5170,6,0,0,0,3,1404,348005,0,passed,4,2,4,2
cancellation-increasing-number-of-states,30,82,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,572663,4993,15360,9,3893,12632,1,0,0,0,5,2815,575658,0,passed,4,2,5,2
cancellation-increasing-number-of-states,31,83,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,344792,2298,7137,15,1567,5048,0,0,0,0,3,1345,346226,0,passed,4,2,4,2
cancellation-increasing-number-of-states,32,84,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,576232,5061,17042,15,3919,14284,15,0,0,0,5,3027,579439,0,passed,4,2,5,2
cancellation-increasing-number-of-states,33,85,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,460900,3807,11200,1,2787,8775,10,0,0,0,4,2222,463256,0,passed,4,2,5,2
cancellation-increasing-number-of-states,34,86,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,467870,3905,11577,0,2863,9020,16,0,0,0,4,2284,470345,0,passed,4,1,5,1
cancellation-increasing-number-of-states,35,87,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,355104,2292,7105,0,1527,4945,6,0,0,0,3,1384,356613,0,passed,4,2,4,2
cancellation-increasing-number-of-states,36,88,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,470970,5075,15251,17,3577,11032,25,0,0,0,4,2880,474005,0,passed,4,1,5,1
cancellation-increasing-number-of-states,37,89,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,579786,5317,15813,17,4107,12866,27,0,0,0,5,3182,583179,0,passed,4,1,5,1
cancellation-increasing-number-of-states,38,90,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,583230,5879,17776,3,4472,14217,43,0,0,0,5,3503,586940,0,passed,4,1,5,1
cancellation-increasing-number-of-states,39,91,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,583192,5755,17399,7,4428,14048,18,0,0,0,5,3329,586717,0,passed,4,1,5,1
cancellation-increasing-number-of-states,40,92,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,462563,5091,15303,0,3569,11052,24,0,0,0,4,2856,465552,0,passed,4,1,5,1
cancellation-increasing-number-of-states,41,93,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,348961,2330,7277,6,1579,5126,1,0,0,0,3,1360,350422,0,passed,4,2,4,2
cancellation-increasing-number-of-states,42,94,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,13,482533,4052,13331,0,2778,9529,1,0,0,0,4,2257,484951,0,passed,4,2,4,2
cancellation-increasing-number-of-states,43,95,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,457653,5023,15435,5,3537,11222,2,0,0,0,4,2801,460594,0,passed,4,1,5,1
cancellation-increasing-number-of-states,44,96,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,582933,5179,15327,44,3961,12440,14,0,0,0,5,3019,586143,0,passed,4,2,5,2
cancellation-increasing-number-of-states,45,97,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,345998,2354,7310,0,1583,5127,1,0,0,0,3,1393,347477,0,passed,4,2,4,2
cancellation-increasing-number-of-states,46,98,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,465052,5035,14875,34,3565,10728,16,0,0,0,4,2791,467975,0,passed,4,1,5,1
cancellation-increasing-number-of-states,47,99,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,471992,3340,11470,0,2465,8750,7,0,0,0,4,2011,474133,0,passed,4,2,4,2
cancellation-increasing-number-of-states,48,100,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,579737,7713,23485,28,5575,17372,11,0,0,0,5,4276,584183,0,passed,4,1,5,1
cancellation-increasing-number-of-states,49,101,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,458148,3424,12193,15,2492,9085,0,0,0,0,4,2083,460362,0,passed,4,2,4,2
cancellation-increasing-number-of-states,50,102,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,461977,5055,14917,55,3561,10750,1,0,0,0,4,2781,464894,0,passed,4,1,5,1
cancellation-increasing-number-of-states,51,103,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,573744,7699,24060,22,5573,17913,17,0,0,0,5,4368,578280,0,passed,4,1,5,1
cancellation-increasing-number-of-states,52,104,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,458347,5059,14911,15,3573,10746,21,0,0,0,4,2843,461330,0,passed,4,1,5,1
cancellation-increasing-number-of-states,53,105,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472099,3757,12674,0,2769,10132,2,0,0,0,4,2205,474430,0,passed,4,2,5,2
cancellation-increasing-number-of-states,54,106,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,573032,4985,16406,57,3898,13708,3,0,0,0,5,3017,576223,0,passed,4,2,5,2
cancellation-increasing-number-of-states,55,107,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,463403,3849,11101,0,2831,8642,36,0,0,0,4,2221,465770,0,passed,4,1,5,1
cancellation-increasing-number-of-states,56,108,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,460876,5131,15141,0,3613,10870,70,0,0,0,4,2966,463995,0,passed,4,1,5,1
cancellation-increasing-number-of-states,57,109,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,581325,5419,15773,32,4147,12711,2,0,0,0,5,3195,584705,0,passed,4,1,5,1
cancellation-increasing-number-of-states,58,110,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,576611,5003,16504,42,3896,13737,17,0,0,0,5,3043,579866,0,passed,4,2,5,2
cancellation-increasing-number-of-states,59,111,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,581186,5389,15687,29,4127,12674,39,0,0,0,5,3225,584605,0,passed,4,1,5,1
cancellation-increasing-number-of-states,60,112,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,579194,5441,15799,9,4151,12716,33,0,0,0,5,3219,582611,0,passed,4,1,5,1
cancellation-increasing-number-of-states,61,113,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,355801,2486,7122,16,1715,5072,1,0,0,0,3,1607,357512,0,passed,4,1,4,1
cancellation-increasing-number-of-states,62,114,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,463112,5059,15173,15,3573,11000,27,0,0,0,4,2787,466055,0,passed,4,1,5,1
cancellation-increasing-number-of-states,63,115,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,486259,5031,15769,4,3541,11262,10,0,0,0,4,3205,489596,0,passed,4,1,5,1
cancellation-increasing-number-of-states,64,116,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,467533,3723,11005,36,2757,8703,21,0,0,0,4,2285,469948,0,passed,4,2,5,2
cancellation-increasing-number-of-states,65,117,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,577692,5029,14660,22,3908,12031,33,0,0,0,5,2938,580829,0,passed,4,2,5,2
cancellation-increasing-number-of-states,66,118,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,465148,5011,14767,0,3569,10692,42,0,0,0,4,2963,468265,0,passed,4,1,5,1
cancellation-increasing-number-of-states,67,119,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,353539,2306,8324,0,1572,5856,6,0,0,0,3,1361,355015,0,passed,4,2,4,2
cancellation-increasing-number-of-states,68,120,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472978,3713,10964,0,2757,8680,0,0,0,0,4,2082,475198,0,passed,4,2,5,2
cancellation-increasing-number-of-states,69,121,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,471216,3837,11405,17,2823,8940,20,0,0,0,4,2207,473598,0,passed,4,1,5,1
cancellation-increasing-number-of-states,70,122,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,479551,3454,11306,6,2508,8513,34,0,0,0,4,2060,481748,0,passed,4,2,4,2
cancellation-increasing-number-of-states,71,123,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,480681,5015,14781,0,3561,10682,26,0,0,0,4,3041,483868,0,passed,4,1,5,1
cancellation-increasing-number-of-states,72,124,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,472789,3905,11588,0,2863,9007,22,0,0,0,4,2274,475199,0,passed,4,1,5,1
cancellation-increasing-number-of-states,73,125,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,590219,4985,16246,20,3907,13654,32,0,0,0,5,3112,593536,0,passed,4,2,5,2
cancellation-increasing-number-of-states,74,126,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,12,478198,3540,11232,46,2534,8438,13,0,0,0,4,2118,480456,0,passed,4,2,4,2
cancellation-increasing-number-of-states,75,127,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,576974,5123,15825,15,3942,12856,21,0,0,0,5,2944,580097,0,passed,4,2,5,2
cancellation-increasing-number-of-states,76,128,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,17,576962,5153,17127,11,3960,14051,13,0,0,0,5,3018,580144,0,passed,4,2,5,2
cancellation-increasing-number-of-states,77,129,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,18,586210,5345,15865,45,4119,12888,9,0,0,0,5,3507,589894,0,passed,4,1,5,1
cancellation-increasing-number-of-states,78,130,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,354417,2552,7316,0,1739,5175,2,0,0,0,3,1546,356089,0,passed,4,1,4,1
cancellation-increasing-number-of-states,79,131,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,5,19,585974,7535,22999,12,5517,17127,42,0,0,0,5,4336,590516,0,passed,4,1,5,1
cancellation-increasing-number-of-states,80,132,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,4,14,473110,3699,10936,38,2751,8673,22,0,0,0,4,2219,475459,0,passed,4,2,5,2
cancellation-increasing-number-of-states,81,133,cancellation,4,4,3,4,6,0.8,0.3,5,2,0,0,3,9,345665,2342,7645,21,1583,5342,1,0,0,0,3,1367,347116,0,passed,4,2,4,2
