scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
commutation-increasing-number-of-states,0,52,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,473643,1695,4606,5,1254,3560,6,0,0,0,4,1367,475180,0,passed,4,3,5,3
commutation-increasing-number-of-states,1,53,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,15,435982,1923,7182,0,1444,5628,9,0,0,0,4,1229,437346,0,passed,4,3,5,3
commutation-increasing-number-of-states,2,54,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,432189,2161,6209,26,1471,4373,2,0,0,0,4,1377,433697,0,passed,4,3,5,3
commutation-increasing-number-of-states,3,55,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,433181,1747,4863,0,1273,3701,13,0,0,0,4,1238,434549,0,passed,4,3,5,3
commutation-increasing-number-of-states,4,56,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,436429,1759,4955,0,1329,3925,28,0,0,0,4,1248,437802,0,passed,4,3,5,3
commutation-increasing-number-of-states,5,57,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,9,439328,1305,3898,15,1046,3042,1,0,0,0,4,848,440305,0,passed,4,3,3,1
commutation-increasing-number-of-states,6,58,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,432296,1879,5932,0,1353,4538,15,0,0,0,4,1089,433521,0,passed,4,3,5,3
commutation-increasing-number-of-states,7,59,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,2,5,218348,379,951,0,254,667,20,0,0,0,2,307,218721,0,passed,4,3,3,2
commutation-increasing-number-of-states,8,60,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,3,11,331622,1291,3793,0,887,2783,16,0,0,0,3,700,332406,0,passed,4,3,5,3
commutation-increasing-number-of-states,9,61,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,4,14,452200,2503,7708,17,1695,5376,2,0,0,0,4,1424,453741,0,passed,4,3,5,3
commutation-increasing-number-of-states,10,62,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,3,11,331802,1275,3507,0,883,2560,2,0,0,0,3,684,332584,0,passed,4,3,5,3
commutation-increasing-number-of-states,11,63,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,3,10,322005,1027,2696,1,708,1989,0,0,0,0,3,645,322726,0,passed,4,3,5,3
commutation-increasing-number-of-states,12,64,commutative,4,3,3,3,3,0.8,0.3,5,2,0,0,2,5,220707,415,985,0,279,692,0,0,0,0,2,247,220999,0,passed,4,3,3,2
