scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
idempotency-increasing-number-of-states,0,52,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,140995,109,162,2,111,165,2,0,0,0,1,192,141214,0,passed,5,0,1,0
idempotency-increasing-number-of-states,1,53,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,124943,109,162,0,111,165,0,0,0,0,1,149,125118,0,passed,5,0,1,0
idempotency-increasing-number-of-states,2,54,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122205,109,162,1,111,165,0,0,0,0,1,103,122330,0,passed,5,0,1,0
idempotency-increasing-number-of-states,3,55,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122941,109,162,0,111,165,0,0,0,0,1,133,123097,0,passed,5,0,1,0
idempotency-increasing-number-of-states,4,56,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,3,9,427287,4128,11720,21,2798,8310,2,0,0,0,3,2449,429869,0,passed,5,1,4,1
idempotency-increasing-number-of-states,5,57,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,130845,109,162,0,111,165,0,0,0,0,1,136,131013,0,passed,5,0,1,0
idempotency-increasing-number-of-states,6,58,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,131326,109,162,1,111,165,0,0,0,0,1,104,131457,0,passed,5,0,1,0
idempotency-increasing-number-of-states,7,59,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,126680,109,162,0,111,165,0,0,0,0,1,76,126777,0,passed,5,0,1,0
idempotency-increasing-number-of-states,8,60,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,3,9,418646,4288,12539,17,2817,8503,36,0,0,0,3,2578,421322,0,passed,5,1,4,1
idempotency-increasing-number-of-states,9,61,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,3,10,429715,5121,15408,26,3440,10588,1,0,0,0,3,3164,432986,0,passed,5,1,5,1
idempotency-increasing-number-of-states,10,62,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,121267,109,162,0,111,165,0,0,0,0,1,107,121395,0,passed,5,0,1,0
idempotency-increasing-number-of-states,11,63,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,124284,109,162,0,111,165,0,0,0,0,1,105,124415,0,passed,5,0,1,0
idempotency-increasing-number-of-states,12,64,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,3,10,426000,5255,15798,32,3510,10757,37,0,0,0,3,3285,429388,0,passed,5,1,5,1
idempotency-increasing-number-of-states,13,65,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,4,14,579915,8381,27907,34,5832,20291,32,0,0,0,4,5172,585258,0,passed,5,1,5,1
idempotency-increasing-number-of-states,14,66,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,128321,109,162,0,111,165,0,0,0,0,1,116,128474,0,passed,5,0,1,0
idempotency-increasing-number-of-states,15,67,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,2,5,271785,1585,4244,26,996,2847,9,0,0,0,2,1092,272951,0,passed,5,1,3,1
idempotency-increasing-number-of-states,16,68,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,124511,109,162,1,111,165,0,0,0,0,1,103,124641,0,passed,5,0,1,0
idempotency-increasing-number-of-states,17,69,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,125914,109,162,0,111,165,19,0,0,0,1,131,126096,0,passed,5,0,1,0
idempotency-increasing-number-of-states,18,70,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,124656,109,162,0,111,165,0,0,0,0,1,104,124780,0,passed,5,0,1,0
idempotency-increasing-number-of-states,19,71,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,126388,109,162,0,111,165,0,0,0,0,1,104,126518,0,passed,5,0,1,0
idempotency-increasing-number-of-states,20,72,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,4,14,570668,9133,27867,0,6304,19515,45,0,0,0,4,5499,576326,0,passed,5,1,5,1
idempotency-increasing-number-of-states,21,73,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122083,109,162,0,111,165,0,0,0,0,1,78,122184,0,passed,5,0,1,0
idempotency-increasing-number-of-states,22,74,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,127381,109,162,0,111,165,0,0,0,0,1,76,127484,0,passed,5,0,1,0
idempotency-increasing-number-of-states,23,75,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122353,109,162,0,111,165,0,0,0,0,1,75,122448,0,passed,5,0,1,0
idempotency-increasing-number-of-states,24,76,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122111,109,162,0,111,165,0,0,0,0,1,74,122202,0,passed,5,0,1,0
idempotency-increasing-number-of-states,25,77,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,4,14,582891,7759,26759,42,5506,20089,2,0,0,0,4,4631,587679,0,passed,5,1,5,1
idempotency-increasing-number-of-states,26,78,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,3,9,423440,4088,11912,24,2691,8147,1,0,0,0,3,2419,425976,0,passed,5,1,4,1
idempotency-increasing-number-of-states,27,79,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,122440,109,162,0,111,165,0,0,0,0,1,73,122535,0,passed,5,0,1,0
idempotency-increasing-number-of-states,28,80,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,124725,109,162,0,111,165,0,0,0,0,1,75,124823,0,passed,5,0,1,0
idempotency-increasing-number-of-states,29,81,idempotency,5,3,3,3,16,0.8,0.3,5,2,0,0,1,1,126917,109,162,0,111,165,0,0,0,0,1,73,127015,0,passed,5,0,1,0
