scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
cancellation-srs-mixed,0,1,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,23,292,26056699,0,0,620013,3282320,1087,552429,2962879,953,0,0,0,23,399233,26459120,0,passed,22,2,23,2
cancellation-srs-mixed,1,2,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,15,203,11937684,0,0,460727,2088023,470,384651,1771837,364,0,0,0,15,276809,12215505,0,passed,20,3,21,3
cancellation-srs-mixed,2,3,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,28,407,56575772,0,0,1060545,5846189,1977,952550,5333108,1738,0,0,0,28,728380,57308998,0,passed,24,1,25,1
cancellation-srs-mixed,3,4,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,16,251,42403096,0,0,842473,3794196,1254,670950,3063791,1157,0,0,0,16,521453,42926007,0,passed,24,4,25,4
cancellation-srs-mixed,4,5,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,16,254,63311441,0,0,380703,1849380,606,309686,1541436,556,0,0,0,16,232434,63545830,0,passed,26,5,27,5
cancellation-srs-mixed,5,6,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,16,245,43122568,0,0,389117,1901236,774,307220,1542425,869,0,0,0,16,241252,43365586,0,passed,24,4,25,4
cancellation-srs-mixed,6,7,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,23,372,53503311,0,0,2022595,11672647,2994,1806000,10522862,3317,0,0,0,23,1368233,54875098,0,passed,26,2,27,2
cancellation-srs-mixed,7,8,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,17,277,58188126,0,0,1027441,5342779,2334,901676,4714554,1916,0,0,0,17,715367,58905378,0,passed,26,3,27,3
cancellation-srs-mixed,8,9,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,21,321,45075173,0,0,834883,4012100,1112,686079,3364859,1833,0,0,0,21,522664,45600274,0,passed,24,3,25,3
cancellation-srs-mixed,9,10,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,17,253,19934823,0,0,560322,2844927,1126,484244,2505356,1044,0,0,0,17,365406,20301740,0,passed,22,2,22,2
cancellation-srs-mixed,10,11,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,12,158,15193118,0,0,282732,1268545,573,203107,951867,354,0,0,0,12,177738,15371750,0,passed,22,6,22,6
cancellation-srs-mixed,11,12,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,23,350,69004497,0,0,791969,4066162,1447,716554,3722995,2206,0,0,0,23,545829,69554408,0,passed,26,1,27,1
cancellation-srs-mixed,12,13,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,12,149,28968376,0,0,178393,841777,436,150383,732362,301,0,0,0,12,114113,29083514,0,passed,24,3,25,3
cancellation-srs-mixed,13,14,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,15,247,40230443,0,0,346811,1616456,708,273930,1323089,538,0,0,0,15,216921,40448937,0,passed,26,7,27,7
cancellation-srs-mixed,14,15,cancellation,20,4,3,4,6,0.8,0.3,5,2,0,0,19,224,14218572,0,0,558861,2382196,676,464471,2009671,642,0,0,0,19,338668,14559106,0,passed,20,2,21,2
cancellation-srs-mixed,15,16,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,15,200,13511172,0,0,301559,1341064,381,263398,1196616,292,0,0,0,15,195589,13708317,0,passed,22,3,23,3
cancellation-srs-mixed,16,17,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,18,304,51637372,0,0,713183,3417876,1408,520879,2590476,1218,0,0,0,18,444825,52083981,0,passed,26,8,27,8
cancellation-srs-mixed,17,18,cancellation,24,4,3,4,6,0.8,0.3,5,2,0,0,18,248,40141358,0,0,758115,3497889,1615,640951,2985409,1427,0,0,0,18,487381,40630665,0,passed,24,3,25,3
cancellation-srs-mixed,18,19,cancellation,22,4,3,4,6,0.8,0.3,5,2,0,0,20,250,19054836,0,0,392357,1986218,787,341624,1778282,692,0,0,0,20,235969,19293115,0,passed,22,3,23,3
cancellation-srs-mixed,19,20,cancellation,26,4,3,4,6,0.8,0.3,5,2,0,0,20,355,49995351,0,0,1545511,8312494,3861,1338041,7318152,3042,0,0,0,20,1068592,51066552,0,passed,26,3,27,3
