scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
commutation-srs-mixed,0,1,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,9,85,1685617,0,0,34055,164160,25,25295,127107,42,0,0,0,9,17592,1703657,0,passed,30,10,19,8
commutation-srs-mixed,1,2,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,12,139,1431726,0,0,94471,460630,86,70562,354042,37,0,0,0,12,46986,1479427,0,passed,24,20,25,20
commutation-srs-mixed,2,3,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,8,73,793130,0,0,24654,108516,36,17299,79326,70,0,0,0,8,14098,807664,0,passed,20,8,16,7
commutation-srs-mixed,3,4,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,8,99,1064519,0,0,43703,210682,51,28362,142416,30,0,0,0,8,26975,1092055,0,passed,20,14,21,14
commutation-srs-mixed,4,5,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,7,44,723776,0,0,10849,51555,26,8286,41223,30,0,0,0,7,7315,731432,0,passed,25,13,11,7
commutation-srs-mixed,5,6,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,14,212,4387396,0,0,119403,898577,269,90518,731261,115,0,0,0,14,82574,4471387,0,passed,24,9,25,9
commutation-srs-mixed,6,7,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,11,160,15402239,0,0,106450,587413,280,72851,407250,113,0,0,0,11,66506,15469538,0,passed,30,10,26,9
commutation-srs-mixed,7,8,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,10,134,1613580,0,0,59872,330049,181,41408,245802,151,0,0,0,10,38691,1652916,0,passed,25,13,26,13
commutation-srs-mixed,8,9,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,13,154,2969802,0,0,89421,547662,129,70785,437678,56,0,0,0,13,56809,3027683,0,passed,20,18,21,18
commutation-srs-mixed,9,10,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,14,194,3135635,0,0,135597,684731,169,93491,484429,120,0,0,0,14,83656,3220435,0,passed,30,10,25,9
commutation-srs-mixed,10,11,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,16,176,4338745,0,0,104691,473892,97,83400,388180,90,0,0,0,16,65682,4405552,0,passed,30,10,19,8
commutation-srs-mixed,11,12,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,14,140,1697853,0,0,68838,321871,50,52030,256906,57,0,0,0,14,41518,1740263,0,passed,25,17,16,11
commutation-srs-mixed,12,13,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,9,79,963342,0,0,28826,182567,36,21834,140863,25,0,0,0,9,18663,982512,0,passed,20,14,16,11
commutation-srs-mixed,13,14,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,15,187,6914576,0,0,106233,627906,120,83302,509714,125,0,0,0,15,69883,6985682,1,passed,30,15,25,14
commutation-srs-mixed,14,15,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,8,56,737739,0,0,14907,60167,14,11286,48209,20,0,0,0,8,9234,747330,0,passed,20,11,11,7
commutation-srs-mixed,15,16,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,11,181,8947823,0,0,103793,614539,231,72818,437199,197,0,0,0,11,63650,9012288,0,passed,30,20,31,20
commutation-srs-mixed,16,17,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,19,319,5138062,0,0,248509,1620131,497,197145,1317125,533,0,0,0,19,148878,5288818,0,passed,30,18,31,18
commutation-srs-mixed,17,18,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,12,167,3325157,0,0,90207,488474,199,67434,371711,216,0,0,0,12,51777,3377959,0,passed,24,19,25,19
commutation-srs-mixed,18,19,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,5,22,461123,0,0,3515,12173,15,2723,9938,4,0,0,0,5,2284,463594,0,passed,30,15,7,6
commutation-srs-mixed,19,20,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,12,175,4346123,0,0,143888,741521,327,105396,548335,247,0,0,0,12,90629,4437670,0,passed,25,13,26,13
commutation-srs-mixed,20,21,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,11,143,1669595,0,0,91312,524274,169,64603,377362,48,0,0,0,11,56538,1727001,0,passed,25,17,26,17
commutation-srs-mixed,21,22,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,12,164,3410564,0,0,126204,650586,340,83688,452215,268,0,0,0,12,76375,3487795,0,passed,25,17,26,17
commutation-srs-mixed,22,23,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,16,190,3291706,0,0,98895,509723,196,79190,415424,202,0,0,0,16,59447,3352412,0,passed,25,13,21,8
commutation-srs-mixed,23,24,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,8,75,1764458,0,0,31885,161383,53,23742,119752,31,0,0,0,8,19402,1784320,0,passed,24,21,19,18
commutation-srs-mixed,24,25,commutative,20,3,3,3,3,0.8,0.3,5,5,0,0,14,168,1553113,0,0,91021,516955,70,72098,430266,141,0,0,0,14,59522,1613788,0,passed,20,8,21,8
commutation-srs-mixed,25,26,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,10,76,898245,0,0,42997,191255,32,32382,149517,41,0,0,0,10,25351,924169,0,passed,25,9,13,6
commutation-srs-mixed,26,27,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,9,82,1076105,0,0,46459,216311,87,34798,163984,53,0,0,0,9,29514,1106102,0,passed,25,16,17,7
commutation-srs-mixed,27,28,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,11,141,1490055,0,0,54797,330173,47,40356,248125,57,0,0,0,11,33143,1524002,0,passed,25,9,21,8
commutation-srs-mixed,28,29,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,12,167,4455643,0,0,92378,620158,86,68647,470559,108,0,0,0,12,58630,4515382,0,passed,25,19,26,19
commutation-srs-mixed,29,30,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,15,205,2752912,0,0,201240,1106186,154,156069,873788,261,0,0,0,15,132144,2886480,0,passed,25,13,26,13
commutation-srs-mixed,30,31,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,13,180,1680808,0,0,107525,540028,171,74495,387992,75,0,0,0,13,54509,1736205,0,passed,24,18,25,18
commutation-srs-mixed,31,32,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,13,192,2394032,0,0,101006,698329,464,71059,508001,73,0,0,0,13,65327,2460355,0,passed,25,13,26,13
commutation-srs-mixed,32,33,commutative,24,3,3,3,3,0.8,0.3,5,6,0,0,15,244,4932455,0,0,227903,1245159,192,154348,859514,110,0,0,0,15,109307,5042962,0,passed,24,16,25,16
commutation-srs-mixed,33,34,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,16,237,8084567,0,0,226009,1432450,452,163567,1041657,338,0,0,0,16,142643,8228694,0,passed,30,15,25,14
commutation-srs-mixed,34,35,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,12,176,2807307,0,0,95702,551609,254,70789,421677,290,0,0,0,12,60233,2868512,0,passed,25,13,26,13
commutation-srs-mixed,35,36,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,10,122,1205062,0,0,61605,282263,103,46724,225501,138,0,0,0,10,37722,1243443,0,passed,25,9,21,8
commutation-srs-mixed,36,37,commutative,30,3,3,3,3,0.8,0.3,5,6,0,0,5,23,469069,0,0,3743,15854,6,2804,12529,4,0,0,0,5,2411,471676,0,passed,30,24,7,6
commutation-srs-mixed,37,38,commutative,25,3,3,3,3,0.8,0.3,5,5,0,0,14,202,2077385,0,0,170028,913962,532,115508,620489,353,0,0,0,14,105303,2183782,0,passed,25,9,26,9
