scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
commutation-srs-mixed,0,1,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,16,302,180470043,0,0,392317,2540702,879,291271,1948011,880,0,0,0,16,250453,180721969,0,passed,30,22,31,22
commutation-srs-mixed,1,2,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,9,148,41290990,0,0,194463,761746,477,133624,536699,203,0,0,0,9,110160,41401740,0,passed,24,12,25,12
commutation-srs-mixed,2,3,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,12,150,24032191,0,0,156057,903045,531,121058,732920,362,0,0,0,12,98700,24131895,0,passed,20,8,21,8
commutation-srs-mixed,3,4,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,9,90,1918266,0,0,76089,360208,201,55708,270632,97,0,0,0,9,46287,1965069,0,passed,20,12,21,12
commutation-srs-mixed,4,5,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,11,155,35635993,0,0,189738,965385,709,143855,745874,492,0,0,0,11,109166,35745980,0,passed,25,23,26,23
commutation-srs-mixed,5,6,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,14,221,92602906,0,0,339873,1485155,509,239531,1089061,456,0,0,0,14,194151,92798276,0,passed,24,18,25,18
commutation-srs-mixed,6,7,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,13,223,319840684,0,0,337073,1535225,793,239386,1104787,709,0,0,0,13,187461,320029155,0,passed,30,10,31,10
commutation-srs-mixed,7,8,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,20,314,124756781,0,0,715374,3147556,1326,510902,2343672,1068,0,0,0,20,414245,125173154,0,passed,25,9,26,9
commutation-srs-mixed,8,9,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,12,161,25347976,0,0,252793,1495990,295,176895,1045885,257,0,0,0,12,145053,25493956,0,passed,20,8,21,8
commutation-srs-mixed,9,10,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,18,308,415800806,0,0,586591,2902578,1007,437306,2206781,726,0,0,0,18,340619,416143115,0,passed,30,14,31,14
commutation-srs-mixed,10,11,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,9,166,271494821,0,0,232405,1063299,701,154779,737412,335,0,0,0,9,130406,271625929,0,passed,30,14,31,14
commutation-srs-mixed,11,12,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,12,187,50199556,0,0,269736,1268447,568,189238,913425,386,0,0,0,12,154402,50354886,0,passed,25,9,26,9
commutation-srs-mixed,12,13,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,10,137,23874979,0,0,209659,1017015,437,139346,683020,303,0,0,0,10,122757,23998410,0,passed,20,11,21,11
commutation-srs-mixed,13,14,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,12,225,144782688,0,0,336339,1516630,590,244388,1120260,729,0,0,0,12,199428,144983290,0,passed,30,24,31,24
commutation-srs-mixed,14,15,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,9,80,2366739,0,0,62728,241385,448,44539,175886,91,0,0,0,9,36963,2404161,0,passed,20,16,16,11
commutation-srs-mixed,15,16,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,12,201,212973324,0,0,443039,2283890,696,301418,1570287,676,0,0,0,12,268111,213242441,0,passed,30,14,31,14
commutation-srs-mixed,16,17,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,13,205,244329133,0,0,344741,1735953,456,246290,1271259,318,0,0,0,13,199773,244530024,0,passed,30,18,31,18
commutation-srs-mixed,17,18,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,14,202,30784953,0,0,379723,2213161,784,265582,1605545,795,0,0,0,14,227807,31013935,0,passed,24,16,25,16
commutation-srs-mixed,18,19,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,10,195,125396449,0,0,226935,1240319,533,150666,867922,362,0,0,0,10,132365,125529705,0,passed,30,21,31,21
commutation-srs-mixed,19,20,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,13,157,57447052,0,0,224074,1112075,445,178159,883056,301,0,0,0,13,129599,57577767,0,passed,25,22,26,22
commutation-srs-mixed,20,21,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,10,153,65845765,0,0,247022,1073283,487,154668,690589,371,0,0,0,10,144342,65990784,0,passed,25,13,26,13
commutation-srs-mixed,21,22,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,14,232,80134588,0,0,293324,1319213,690,223938,1045817,707,0,0,0,14,182232,80318065,0,passed,25,9,26,9
commutation-srs-mixed,22,23,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,10,124,12437491,0,0,114237,556222,242,87006,433794,169,0,0,0,10,68370,12506550,0,passed,25,17,21,14
commutation-srs-mixed,23,24,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,8,105,37627776,0,0,172751,706410,274,108018,452082,190,0,0,0,8,86735,37715025,0,passed,24,18,25,18
commutation-srs-mixed,24,25,commutative,20,5,7,5,4,0.8,0.3,5,5,0,0,12,148,16299465,0,0,137873,724368,374,105538,568127,373,0,0,0,12,87078,16387566,0,passed,20,16,21,16
commutation-srs-mixed,25,26,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,11,149,158195924,0,0,229340,1184596,536,168116,874345,565,0,0,0,11,145015,158341904,0,passed,25,16,26,16
commutation-srs-mixed,26,27,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,14,238,86740928,0,0,445942,2170481,1010,324754,1586259,660,0,0,0,14,280495,87022649,0,passed,25,9,26,9
commutation-srs-mixed,27,28,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,11,148,21697134,0,0,183438,1033996,203,135597,785144,286,0,0,0,11,99238,21797219,0,passed,25,9,26,9
commutation-srs-mixed,28,29,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,11,159,44092645,0,0,181716,833762,257,133531,635015,361,0,0,0,11,102870,44196457,0,passed,25,13,26,13
commutation-srs-mixed,29,30,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,10,146,79401068,0,0,223234,912824,486,153958,640215,434,0,0,0,10,124966,79526666,0,passed,25,13,26,13
commutation-srs-mixed,30,31,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,10,153,70334035,0,0,168899,788086,198,112683,549167,143,0,0,0,10,99157,70433888,0,passed,24,9,25,9
commutation-srs-mixed,31,32,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,15,225,77389789,0,0,324424,2674500,796,260560,2191042,343,0,0,0,15,227298,77619077,0,passed,25,9,26,9
commutation-srs-mixed,32,33,commutative,24,5,7,5,4,0.8,0.3,5,6,0,0,12,195,68028687,0,0,352797,1917002,463,225817,1274850,306,0,0,0,12,181440,68211071,0,passed,24,18,25,18
commutation-srs-mixed,33,34,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,9,170,152447944,0,0,183959,988709,501,125087,675431,326,0,0,0,9,94458,152543130,0,passed,30,21,31,21
commutation-srs-mixed,34,35,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,17,254,25793219,0,0,436330,2473043,800,354371,2094948,788,0,0,0,17,262657,26057763,0,passed,25,9,26,9
commutation-srs-mixed,35,36,commutative,25,5,7,5,4,0.8,0.3,5,5,0,0,20,314,187006215,0,0,650614,3082663,1365,506616,2444637,1403,0,0,0,20,382646,187390739,0,passed,25,9,26,9
commutation-srs-mixed,36,37,commutative,30,5,7,5,4,0.8,0.3,5,6,0,0,12,176,63536976,0,0,198657,1167584,389,146252,890116,128,0,0,0,12,125621,63663651,0,passed,30,14,25,12
