scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
idempotency-srs-mixed,0,1,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,1,1,215424,0,0,109,162,9,111,165,1,0,0,0,1,359,215808,0,passed,20,0,1,0
idempotency-srs-mixed,1,2,idempotency,19,3,3,3,16,0.8,0.3,5,2,0,0,9,64,18343592,0,0,115945,477717,96,84241,348341,77,0,0,0,9,73462,18417456,0,passed,19,2,11,2
idempotency-srs-mixed,2,3,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,1,1,147907,0,0,109,162,0,111,165,0,0,0,0,1,80,148001,0,passed,16,0,1,0
idempotency-srs-mixed,3,4,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,8,52,17738425,0,0,91633,358089,41,68526,264630,47,0,0,0,8,56347,17795112,0,passed,20,1,11,1
idempotency-srs-mixed,4,5,idempotency,15,3,3,3,16,0.8,0.3,5,2,0,0,10,75,12745449,0,0,142679,563852,129,110571,446177,151,0,0,0,10,91093,12837069,0,passed,15,2,13,2
idempotency-srs-mixed,5,6,idempotency,14,3,3,3,16,0.8,0.3,5,2,0,0,1,1,131884,0,0,109,162,0,111,165,0,0,0,0,1,78,131974,0,passed,14,0,1,0
idempotency-srs-mixed,6,7,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,16,168,109888146,0,0,566427,2598306,402,450544,2017424,193,0,0,0,16,357506,110246827,0,passed,20,1,19,1
idempotency-srs-mixed,7,8,idempotency,17,3,3,3,16,0.8,0.3,5,2,0,0,13,113,27697237,0,0,263221,1483869,249,210233,1152421,178,0,0,0,13,177500,27875618,0,passed,17,1,15,1
idempotency-srs-mixed,8,9,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,1,1,151387,0,0,109,162,0,111,165,0,0,0,0,1,82,151485,0,passed,16,0,1,0
idempotency-srs-mixed,9,10,idempotency,22,3,3,3,16,0.8,0.3,5,2,0,0,1,1,233778,0,0,109,162,0,111,165,0,0,0,0,1,88,233881,0,passed,22,0,1,0
idempotency-srs-mixed,10,11,idempotency,15,3,3,3,16,0.8,0.3,5,2,0,0,11,90,12969003,0,0,208178,794249,225,162013,620433,211,0,0,0,11,133603,13103223,0,passed,15,2,14,2
idempotency-srs-mixed,11,12,idempotency,18,3,3,3,16,0.8,0.3,5,2,0,0,1,1,174968,0,0,109,162,0,111,165,0,0,0,0,1,77,175058,0,passed,18,0,1,0
idempotency-srs-mixed,12,13,idempotency,17,3,3,3,16,0.8,0.3,5,2,0,0,7,54,18927389,0,0,91361,415833,96,62871,288111,38,0,0,0,7,57238,18984968,0,passed,17,2,13,2
idempotency-srs-mixed,13,14,idempotency,22,3,3,3,16,0.8,0.3,5,2,0,0,1,1,232666,0,0,109,162,0,111,165,0,0,0,0,1,78,232757,0,passed,22,0,1,0
idempotency-srs-mixed,14,15,idempotency,23,3,3,3,16,0.8,0.3,5,2,0,0,11,101,48334262,0,0,194396,839081,294,149390,665865,126,0,0,0,11,124061,48458984,0,passed,23,3,16,3
idempotency-srs-mixed,15,16,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,12,116,47870981,0,0,265487,1230208,188,200881,920423,133,0,0,0,12,166299,48038031,0,passed,20,1,17,1
idempotency-srs-mixed,16,17,idempotency,14,3,3,3,16,0.8,0.3,5,2,0,0,8,48,4843438,0,0,65138,247067,80,49296,189510,56,0,0,0,8,41806,4885583,0,passed,14,2,10,2
idempotency-srs-mixed,17,18,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,1,1,155590,0,0,109,162,0,111,165,0,0,0,0,1,88,155693,0,passed,16,0,1,0
idempotency-srs-mixed,18,19,idempotency,18,3,3,3,16,0.8,0.3,5,2,0,0,9,93,29004592,0,0,211238,895234,100,152993,650706,112,0,0,0,9,127282,29132383,0,passed,18,2,18,2
idempotency-srs-mixed,19,20,idempotency,14,3,3,3,16,0.8,0.3,5,2,0,0,11,81,11422988,0,0,160192,715708,209,128085,574868,92,0,0,0,11,102575,11526165,0,passed,14,1,12,1
idempotency-srs-mixed,20,21,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,1,1,158019,0,0,109,162,0,111,165,0,0,0,0,1,77,158111,0,passed,16,0,1,0
idempotency-srs-mixed,21,22,idempotency,26,3,3,3,16,0.8,0.3,5,2,0,0,1,1,304719,0,0,109,162,0,111,165,0,0,0,0,1,81,304814,0,passed,26,0,1,0
idempotency-srs-mixed,22,23,idempotency,25,3,3,3,16,0.8,0.3,5,2,0,0,11,109,101730690,0,0,294371,1362837,341,217427,987687,129,0,0,0,11,180406,101911825,0,passed,25,1,17,1
idempotency-srs-mixed,23,24,idempotency,25,3,3,3,16,0.8,0.3,5,2,0,0,7,47,28701324,0,0,61669,231631,57,43237,164774,36,0,0,0,7,38134,28739765,0,passed,25,4,11,4
idempotency-srs-mixed,24,25,idempotency,25,3,3,3,16,0.8,0.3,5,2,0,0,16,209,206565261,0,0,723479,3183446,661,555670,2439286,315,0,0,0,16,462620,207029222,0,passed,25,5,23,5
idempotency-srs-mixed,25,26,idempotency,15,3,3,3,16,0.8,0.3,5,2,0,0,1,1,149484,0,0,109,162,0,111,165,0,0,0,0,1,96,149595,0,passed,15,0,1,0
idempotency-srs-mixed,26,27,idempotency,24,3,3,3,16,0.8,0.3,5,2,0,0,1,1,269320,0,0,109,162,0,111,165,0,0,0,0,1,77,269416,0,passed,24,0,1,0
idempotency-srs-mixed,27,28,idempotency,21,3,3,3,16,0.8,0.3,5,2,0,0,1,1,242914,0,0,109,162,0,111,165,0,0,0,0,1,78,243008,0,passed,21,0,1,0
idempotency-srs-mixed,28,29,idempotency,18,3,3,3,16,0.8,0.3,5,2,0,0,10,97,31262587,0,0,191659,770012,119,139695,557324,135,0,0,0,10,118567,31381692,0,passed,18,2,15,2
idempotency-srs-mixed,29,30,idempotency,15,3,3,3,16,0.8,0.3,5,2,0,0,9,76,16621313,0,0,141234,519855,173,115307,426195,84,0,0,0,9,91607,16713375,0,passed,15,2,14,2
idempotency-srs-mixed,30,31,idempotency,21,3,3,3,16,0.8,0.3,5,2,0,0,9,76,37336098,0,0,179534,919428,130,133101,664082,110,0,0,0,9,117520,37454151,0,passed,21,1,14,1
idempotency-srs-mixed,31,32,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,9,65,16262460,0,0,117501,480040,98,84279,348067,89,0,0,0,9,73378,16336250,0,passed,16,3,13,3
idempotency-srs-mixed,32,33,idempotency,21,3,3,3,16,0.8,0.3,5,2,0,0,1,1,218189,0,0,109,162,0,111,165,0,0,0,0,1,78,218281,0,passed,21,0,1,0
idempotency-srs-mixed,33,34,idempotency,23,3,3,3,16,0.8,0.3,5,2,0,0,6,27,8304964,0,0,28581,107273,45,20678,79162,17,0,0,0,6,17134,8322334,0,passed,23,1,7,1
idempotency-srs-mixed,34,35,idempotency,16,3,3,3,16,0.8,0.3,5,2,0,0,1,1,145219,0,0,109,162,0,111,165,0,0,0,0,1,78,145310,0,passed,16,0,1,0
idempotency-srs-mixed,35,36,idempotency,24,3,3,3,16,0.8,0.3,5,2,0,0,12,102,52867657,0,0,294905,1412066,163,240218,1136772,143,0,0,0,12,192175,53060626,0,passed,24,1,15,1
idempotency-srs-mixed,36,37,idempotency,22,3,3,3,16,0.8,0.3,5,2,0,0,1,1,231108,0,0,109,162,0,111,165,0,0,0,0,1,78,231199,0,passed,22,0,1,0
idempotency-srs-mixed,37,38,idempotency,14,3,3,3,16,0.8,0.3,5,2,0,0,8,49,8245669,0,0,69116,298494,40,50963,214193,53,0,0,0,8,43937,8289966,0,passed,14,2,10,2
idempotency-srs-mixed,38,39,idempotency,19,3,3,3,16,0.8,0.3,5,2,0,0,12,138,66640331,0,0,329520,1397466,269,236246,1009813,388,0,0,0,12,208446,66849529,0,passed,19,6,18,6
idempotency-srs-mixed,39,40,idempotency,17,3,3,3,16,0.8,0.3,5,2,0,0,7,42,5875792,0,0,50392,228171,22,36999,169358,22,0,0,0,7,32095,5908165,0,passed,17,4,12,4
idempotency-srs-mixed,40,41,idempotency,14,3,3,3,16,0.8,0.3,5,2,0,0,1,1,127705,0,0,109,162,0,111,165,0,0,0,0,1,83,127800,0,passed,14,0,1,0
idempotency-srs-mixed,41,42,idempotency,19,3,3,3,16,0.8,0.3,5,2,0,0,1,1,177155,0,0,109,162,4,111,165,0,0,0,0,1,90,177259,0,passed,19,0,1,0
idempotency-srs-mixed,42,43,idempotency,18,3,3,3,16,0.8,0.3,5,2,0,0,7,39,8914517,0,0,51111,236338,59,37492,176458,43,0,0,0,7,32172,8947000,0,passed,18,1,9,1
idempotency-srs-mixed,43,44,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,7,50,17650305,0,0,56557,255280,48,41571,186246,20,0,0,0,7,36688,17687305,0,passed,20,4,11,4
idempotency-srs-mixed,44,45,idempotency,21,3,3,3,16,0.8,0.3,5,2,0,0,8,57,17944309,0,0,90670,372066,22,68107,282183,36,0,0,0,8,57338,18002052,0,passed,21,2,12,2
idempotency-srs-mixed,45,46,idempotency,20,3,3,3,16,0.8,0.3,5,2,0,0,9,53,16914405,0,0,85398,342969,34,69428,276016,41,0,0,0,9,56168,16971006,0,passed,20,1,10,1
